month,alarms,group
01-Jan-19,11257,Potentially Life-Threatening
02-Feb-19,11269,Potentially Life-Threatening
03-Mar-19,12316,Potentially Life-Threatening
04-Apr-19,11857,Potentially Life-Threatening
05-May-19,12621,Potentially Life-Threatening
06-Jun-19,13191,Potentially Life-Threatening
07-Jul-19,11996,Potentially Life-Threatening
08-Aug-19,13325,Potentially Life-Threatening
09-Sep-19,13731,Potentially Life-Threatening
10-Oct-19,14129,Potentially Life-Threatening
11-Nov-19,12754,Potentially Life-Threatening
12-Dec-19,13882,Potentially Life-Threatening
